count,train_code,departure_station,destination_station,depart_time,arrive_time,during_time,business_class,special_class,first_class,second_class,soft_sleeper,hard_sleeper,hard_seat,no_seat,strict_mode,hs
1,G6566,光明城,常平,08:13,08:37,00:24,,,有,有,,,,,y,y
1,D7582,光明城,常平,11:04,11:28,00:24,2,11,有,有,,,,有,y,y
1,G6546,光明城,常平,11:53,12:17,00:24,,,有,有,,,,,y,y
1,D7578,光明城,常平,15:50,16:20,00:30,,,有,有,,,,有,y,y
1,G6562,光明城,常平,19:01,19:31,00:30,,,1,有,,,,,y,y
1,G6550,光明城,常平,20:23,20:47,00:24,,,有,有,,,,,y,y
1,G6564,光明城,常平,21:29,21:54,00:25,,,1,有,,,,,y,y
2,G6566,光明城,常平,08:13,08:37,00:24,,,有,有,,,,,y,y
2,D7582,光明城,常平,11:04,11:28,00:24,2,11,有,有,,,,有,y,y
2,G6546,光明城,常平,11:53,12:17,00:24,,,有,有,,,,,y,y
2,D7578,光明城,常平,15:50,16:20,00:30,,,有,有,,,,有,y,y
2,G6562,光明城,常平,19:01,19:31,00:30,,,1,有,,,,,y,y
2,G6550,光明城,常平,20:23,20:47,00:24,,,有,有,,,,,y,y
2,G6564,光明城,常平,21:29,21:54,00:25,,,1,有,,,,,y,y
3,G6566,光明城,常平,08:13,08:37,00:24,,,有,有,,,,,y,y
3,D7582,光明城,常平,11:04,11:28,00:24,2,11,有,有,,,,有,y,y
3,G6546,光明城,常平,11:53,12:17,00:24,,,有,有,,,,,y,y
3,D7578,光明城,常平,15:50,16:20,00:30,,,有,有,,,,有,y,y
3,G6562,光明城,常平,19:01,19:31,00:30,,,1,有,,,,,y,y
3,G6550,光明城,常平,20:23,20:47,00:24,,,有,有,,,,,y,y
3,G6564,光明城,常平,21:29,21:54,00:25,,,1,有,,,,,y,y
4,G6566,光明城,常平,08:13,08:37,00:24,,,有,有,,,,,y,y
4,D7582,光明城,常平,11:04,11:28,00:24,2,11,有,有,,,,有,y,y
4,G6546,光明城,常平,11:53,12:17,00:24,,,有,有,,,,,y,y
4,D7578,光明城,常平,15:50,16:20,00:30,,,有,有,,,,有,y,y
4,G6562,光明城,常平,19:01,19:31,00:30,,,1,有,,,,,y,y
4,G6550,光明城,常平,20:23,20:47,00:24,,,有,有,,,,,y,y
4,G6564,光明城,常平,21:29,21:54,00:25,,,1,有,,,,,y,y
5,G6566,光明城,常平,08:13,08:37,00:24,,,有,有,,,,,y,y
5,D7582,光明城,常平,11:04,11:28,00:24,2,11,有,有,,,,有,y,y
5,G6546,光明城,常平,11:53,12:17,00:24,,,有,有,,,,,y,y
5,D7578,光明城,常平,15:50,16:20,00:30,,,有,有,,,,有,y,y
5,G6562,光明城,常平,19:01,19:31,00:30,,,1,有,,,,,y,y
5,G6550,光明城,常平,20:23,20:47,00:24,,,有,有,,,,,y,y
5,G6564,光明城,常平,21:29,21:54,00:25,,,1,有,,,,,y,y
6,G6566,光明城,常平,08:13,08:37,00:24,,,有,有,,,,,y,y
6,D7582,光明城,常平,11:04,11:28,00:24,2,11,有,有,,,,有,y,y
6,G6546,光明城,常平,11:53,12:17,00:24,,,有,有,,,,,y,y
6,D7578,光明城,常平,15:50,16:20,00:30,,,有,有,,,,有,y,y
6,G6562,光明城,常平,19:01,19:31,00:30,,,1,有,,,,,y,y
6,G6550,光明城,常平,20:23,20:47,00:24,,,有,有,,,,,y,y
6,G6564,光明城,常平,21:29,21:54,00:25,,,1,有,,,,,y,y
