count,train_code,departure_station,destination_station,depart_time,arrive_time,during_time,business_class,special_class,first_class,second_class,soft_sleeper,hard_sleeper,hard_seat,no_seat,strict_mode,hs
1,G6072,光明城,广州南,07:46,08:18,00:32,17,,有,,,,,有,y,y
1,G6534,光明城,广州南,11:15,11:40,00:25,4,,12,有,,,,,y,y
1,G1608,光明城,广州南,13:27,14:00,00:33,5,,有,,,,,17,y,y
1,G6062,光明城,广州南,14:51,15:16,00:25,5,,2,有,,,,,y,y
1,G6224,光明城,广州南,15:39,16:04,00:25,7,,2,有,,,,有,y,y
1,G1012,光明城,广州南,17:18,17:44,00:26,16,,14,有,,,,,y,y
1,G6354,光明城,广州南,18:27,18:52,00:25,8,,有,有,,,,有,y,y
1,G6240,光明城,广州南,20:16,20:48,00:32,10,,9,有,,,,18,y,y
1,G6588,光明城,广州南,20:33,21:05,00:32,,,1,有,,,,,y,y
2,G6072,光明城,广州南,07:46,08:18,00:32,17,,有,,,,,有,y,y
2,G6534,光明城,广州南,11:15,11:40,00:25,4,,12,有,,,,,y,y
2,G1608,光明城,广州南,13:27,14:00,00:33,5,,有,,,,,17,y,y
2,G6062,光明城,广州南,14:51,15:16,00:25,5,,2,有,,,,,y,y
2,G6224,光明城,广州南,15:39,16:04,00:25,7,,2,有,,,,有,y,y
2,G1012,光明城,广州南,17:18,17:44,00:26,16,,14,有,,,,,y,y
2,G6354,光明城,广州南,18:27,18:52,00:25,8,,有,有,,,,有,y,y
2,G6240,光明城,广州南,20:16,20:48,00:32,10,,9,有,,,,18,y,y
2,G6588,光明城,广州南,20:33,21:05,00:32,,,1,有,,,,,y,y
3,G6072,光明城,广州南,07:46,08:18,00:32,17,,有,,,,,有,y,y
3,G6534,光明城,广州南,11:15,11:40,00:25,4,,12,有,,,,,y,y
3,G1608,光明城,广州南,13:27,14:00,00:33,5,,有,,,,,17,y,y
3,G6062,光明城,广州南,14:51,15:16,00:25,5,,2,有,,,,,y,y
3,G6224,光明城,广州南,15:39,16:04,00:25,7,,2,有,,,,有,y,y
3,G1012,光明城,广州南,17:18,17:44,00:26,16,,14,有,,,,,y,y
3,G6354,光明城,广州南,18:27,18:52,00:25,8,,有,有,,,,有,y,y
3,G6240,光明城,广州南,20:16,20:48,00:32,10,,9,有,,,,18,y,y
3,G6588,光明城,广州南,20:33,21:05,00:32,,,1,有,,,,,y,y
4,G6072,光明城,广州南,07:46,08:18,00:32,17,,有,,,,,有,y,y
4,G6534,光明城,广州南,11:15,11:40,00:25,4,,12,有,,,,,y,y
4,G1608,光明城,广州南,13:27,14:00,00:33,5,,有,,,,,17,y,y
4,G6062,光明城,广州南,14:51,15:16,00:25,5,,2,有,,,,,y,y
4,G6224,光明城,广州南,15:39,16:04,00:25,7,,2,有,,,,有,y,y
4,G1012,光明城,广州南,17:18,17:44,00:26,16,,14,有,,,,,y,y
4,G6354,光明城,广州南,18:27,18:52,00:25,8,,有,有,,,,有,y,y
4,G6240,光明城,广州南,20:16,20:48,00:32,10,,9,有,,,,18,y,y
4,G6588,光明城,广州南,20:33,21:05,00:32,,,1,有,,,,,y,y
5,G6072,光明城,广州南,07:46,08:18,00:32,17,,有,,,,,有,y,y
5,G6534,光明城,广州南,11:15,11:40,00:25,4,,12,有,,,,,y,y
5,G1608,光明城,广州南,13:27,14:00,00:33,5,,有,,,,,17,y,y
5,G6062,光明城,广州南,14:51,15:16,00:25,5,,2,有,,,,,y,y
5,G6224,光明城,广州南,15:39,16:04,00:25,7,,2,有,,,,有,y,y
5,G1012,光明城,广州南,17:18,17:44,00:26,16,,14,有,,,,,y,y
5,G6354,光明城,广州南,18:27,18:52,00:25,8,,有,有,,,,有,y,y
5,G6240,光明城,广州南,20:16,20:48,00:32,10,,9,有,,,,18,y,y
5,G6588,光明城,广州南,20:33,21:05,00:32,,,1,有,,,,,y,y
6,G6072,光明城,广州南,07:46,08:18,00:32,17,,有,,,,,有,y,y
6,G6534,光明城,广州南,11:15,11:40,00:25,4,,12,有,,,,,y,y
6,G1608,光明城,广州南,13:27,14:00,00:33,5,,有,,,,,17,y,y
6,G6062,光明城,广州南,14:51,15:16,00:25,5,,2,有,,,,,y,y
6,G6224,光明城,广州南,15:39,16:04,00:25,7,,2,有,,,,有,y,y
6,G1012,光明城,广州南,17:18,17:44,00:26,16,,14,有,,,,,y,y
6,G6354,光明城,广州南,18:27,18:52,00:25,8,,有,有,,,,有,y,y
6,G6240,光明城,广州南,20:16,20:48,00:32,10,,9,有,,,,18,y,y
6,G6588,光明城,广州南,20:33,21:05,00:32,,,1,有,,,,,y,y
