count,train_code,departure_station,destination_station,depart_time,arrive_time,during_time,business_class,special_class,first_class,second_class,soft_sleeper,hard_sleeper,hard_seat,no_seat,strict_mode,hs
1,D7580,光明城,广州东,07:05,08:05,01:00,,9,有,有,,,,有,y,y
1,G6566,光明城,广州东,08:13,09:20,01:07,5,,,有,,,,,y,y
1,D7582,光明城,广州东,11:04,12:11,01:07,,8,有,有,,,,有,y,y
1,G6546,光明城,广州东,11:53,13:06,01:13,,,,16,,,,,y,y
1,D7570,光明城,广州东,13:36,14:44,01:08,,,有,有,,,,有,y,y
1,D2430,光明城,广州东,15:42,16:44,01:02,,,6,有,,,,,y,y
1,D7578,光明城,广州东,15:50,17:05,01:15,,,有,有,,,,有,y,y
1,D7572,光明城,广州东,18:01,19:07,01:06,,,有,有,,,,有,y,y
1,G6562,光明城,广州东,19:01,20:14,01:13,2,,,有,,,,,y,y
1,G6550,光明城,广州东,20:23,21:26,01:03,,,,有,,,,,y,y
1,G6564,光明城,广州东,21:29,22:37,01:08,,,,有,,,,,y,y
1,D9794,光明城,广州东,21:57,23:01,01:04,,,3,有,,,,,y,y
